2024-07-05 16:29:23.118711;1248;H=93;T=20;Hs=59.49412;sp=20;sf=12;rx_timestamp=1496322083; rssi=-52; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:29:45.577897;1249;H=93;T=20;Hs=59.28037;sp=2;sf=7;rx_timestamp=1518675039; rssi=-67; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:30:08.031662;1250;H=93;T=20;Hs=59.28037;sp=2;sf=12;rx_timestamp=1541731012; rssi=-67; snr=10.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:30:27.207090;1251;H=93;T=20;Hs=59.28037;sp=20;sf=7;rx_timestamp=1560930032; rssi=-51; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:30:50.230397;1252;H=93;T=20;Hs=59.28037;sp=20;sf=12;rx_timestamp=1583973025; rssi=-52; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:31:11.039304;1253;H=93;T=20;Hs=59.56537;sp=2;sf=7;rx_timestamp=1604231970; rssi=-67; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:31:53.082655;1255;H=93;T=20;Hs=59.56537;sp=20;sf=7;rx_timestamp=1646475960; rssi=-52; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:32:16.119859;1256;H=93;T=20;Hs=59.56537;sp=20;sf=12;rx_timestamp=1669512946; rssi=-52; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:32:38.067253;1257;H=93;T=20;Hs=59.35162;sp=2;sf=7;rx_timestamp=1691862892; rssi=-66; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:33:01.604713;1258;H=93;T=20;Hs=59.35162;sp=2;sf=12;rx_timestamp=1714905863; rssi=-67; snr=10.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:33:20.610756;1259;H=93;T=20;Hs=59.35162;sp=20;sf=7;rx_timestamp=1734104879; rssi=-48; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:33:44.050367;1260;H=93;T=20;Hs=59.35162;sp=20;sf=12;rx_timestamp=1757145868; rssi=-50; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:34:04.100601;1261;H=93;T=20;Hs=59.56537;sp=2;sf=7;rx_timestamp=1777402822; rssi=-64; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:34:27.044043;1262;H=93;T=20;Hs=59.56537;sp=2;sf=12;rx_timestamp=1800443793; rssi=-64; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:34:46.544925;1263;H=93;T=20;Hs=59.56537;sp=20;sf=7;rx_timestamp=1819644814; rssi=-47; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:35:09.587193;1264;H=93;T=20;Hs=59.56537;sp=20;sf=12;rx_timestamp=1842681802; rssi=-48; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:35:31.535427;1265;H=93;T=20;Hs=59.20912;sp=2;sf=7;rx_timestamp=1865034743; rssi=-61; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:35:54.579813;1266;H=93;T=20;Hs=59.20912;sp=2;sf=12;rx_timestamp=1888077709; rssi=-62; snr=10.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:36:14.079805;1267;H=93;T=20;Hs=59.20912;sp=20;sf=7;rx_timestamp=1907278738; rssi=-46; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:36:37.119224;1268;H=93;T=20;Hs=59.20912;sp=20;sf=12;rx_timestamp=1930317718; rssi=-47; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:36:57.083314;1269;H=93;T=20;Hs=59.35162;sp=2;sf=7;rx_timestamp=1950574677; rssi=-61; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:37:20.126814;1270;H=93;T=20;Hs=59.35162;sp=2;sf=12;rx_timestamp=1973617641; rssi=-63; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:37:39.620454;1271;H=93;T=20;Hs=59.35162;sp=20;sf=7;rx_timestamp=1992818663; rssi=-47; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:38:02.062524;1272;H=93;T=20;Hs=59.35162;sp=20;sf=12;rx_timestamp=2015856651; rssi=-48; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:38:24.624266;1273;H=93;T=20;Hs=59.28037;sp=2;sf=7;rx_timestamp=2038207598; rssi=-69; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:38:48.057170;1274;H=93;T=20;Hs=59.28037;sp=2;sf=12;rx_timestamp=2061250568; rssi=-71; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:39:07.067469;1275;H=93;T=20;Hs=59.28037;sp=20;sf=7;rx_timestamp=2080449582; rssi=-54; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:39:32.100100;1276;H=93;T=20;Hs=59.28037;sp=20;sf=12;rx_timestamp=2103486576; rssi=-57; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:39:52.551220;1277;H=93;T=20;Hs=59.316;sp=2;sf=7;rx_timestamp=2125845439; rssi=-70; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:40:15.126789;1278;H=93;T=20;Hs=59.316;sp=2;sf=12;rx_timestamp=2148723771; rssi=-70; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:40:57.632627;1280;H=93;T=20;Hs=59.316;sp=20;sf=12;rx_timestamp=2191127412; rssi=-57; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
