313;H=95;T=23;Hs=0.0;sp=2;sf=7;send_time=1724692649;rx_timestamp=38735797; rssi=-116; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
317;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724692771;rx_timestamp=160304322; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
321;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724692893;rx_timestamp=281869766; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
325;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724693014;rx_timestamp=403438003; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
329;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724693136;rx_timestamp=525032263; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
333;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724693257;rx_timestamp=646602261; rssi=-114; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
337;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724693379;rx_timestamp=768165219; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
341;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724693505;rx_timestamp=893943691; rssi=-114; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
345;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724693626;rx_timestamp=1015494236; rssi=-114; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
349;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724693748;rx_timestamp=1137061759; rssi=-114; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
353;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724693869;rx_timestamp=1258628189; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
357;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724693991;rx_timestamp=1380271889; rssi=-114; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
361;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724694113;rx_timestamp=1501840290; rssi=-114; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
365;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724694234;rx_timestamp=1623405806; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
369;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724694356;rx_timestamp=1744971172; rssi=-113; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
373;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724694477;rx_timestamp=1866533154; rssi=-113; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
377;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724694603;rx_timestamp=1992292102; rssi=-113; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
381;H=95;T=22;Hs=0.0;sp=2;sf=7;send_time=1724694725;rx_timestamp=2113863120; rssi=-113; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
