0000;775;H=72;T=26;Hs=73.24545;sp=20;sf=7;rx_timestamp=1255376403; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:25:40.634525;776;H=72;T=26;Hs=73.24545;sp=20;sf=12;rx_timestamp=1278419356; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:26:00.600418;777;H=75;T=26;Hs=73.17421;sp=2;sf=7;rx_timestamp=1298678305; rssi=-112; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:26:24.147421;778;H=75;T=26;Hs=73.17421;sp=2;sf=12;rx_timestamp=1321719250; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:26:42.635841;779;H=75;T=26;Hs=73.17421;sp=20;sf=7;rx_timestamp=1340914292; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:27:06.072950;780;H=75;T=26;Hs=73.17421;sp=20;sf=12;rx_timestamp=1363957240; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:27:28.631964;781;H=74;T=26;Hs=72.67545;sp=2;sf=7;rx_timestamp=1386312187; rssi=-111; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:27:51.088806;782;H=74;T=26;Hs=72.67545;sp=2;sf=12;rx_timestamp=1409357139; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:28:11.112878;783;H=74;T=26;Hs=72.67545;sp=20;sf=7;rx_timestamp=1428602169; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:28:33.560880;784;H=74;T=26;Hs=72.67545;sp=20;sf=12;rx_timestamp=1451644134; rssi=-95; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:28:54.119879;785;H=74;T=26;Hs=73.03171;sp=2;sf=7;rx_timestamp=1471903070; rssi=-111; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:29:17.072835;786;H=74;T=26;Hs=73.03171;sp=2;sf=12;rx_timestamp=1494944032; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:29:36.071626;787;H=74;T=26;Hs=73.03171;sp=20;sf=7;rx_timestamp=1514140058; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:29:59.103714;788;H=74;T=26;Hs=73.03171;sp=20;sf=12;rx_timestamp=1537185015; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
