2024-07-05 10:10:08.165505;188;H=40;T=38;Hs=62.09476;sp=20;sf=12;rx_timestamp=3129332891; rssi=-108; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:11:11.163324;191;H=46;T=38;Hs=62.13039;sp=20;sf=7;rx_timestamp=3191826634; rssi=-108; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:11:33.752499;192;H=46;T=38;Hs=62.13039;sp=20;sf=12;rx_timestamp=3214880529; rssi=-108; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:12:36.609790;195;H=50;T=37;Hs=62.13039;sp=20;sf=7;rx_timestamp=3277375273; rssi=-114; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:12:59.658896;196;H=50;T=37;Hs=62.13039;sp=20;sf=12;rx_timestamp=3300420162; rssi=-112; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:13:19.610852;197;H=53;T=35;Hs=62.05914;sp=2;sf=7;rx_timestamp=3320676041; rssi=-120; snr=-7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:13:43.151253;198;H=53;T=35;Hs=62.05914;sp=2;sf=12;rx_timestamp=3343716938; rssi=-120; snr=-6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:14:02.148028;199;H=53;T=35;Hs=62.05914;sp=20;sf=7;rx_timestamp=3362911916; rssi=-103; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:14:24.595090;200;H=53;T=35;Hs=62.05914;sp=20;sf=12;rx_timestamp=3385952805; rssi=-104; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:14:47.144147;201;H=59;T=33;Hs=61.98789;sp=2;sf=7;rx_timestamp=3408305680; rssi=-120; snr=-7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:15:10.585376;202;H=59;T=33;Hs=61.98789;sp=2;sf=12;rx_timestamp=3431348574; rssi=-119; snr=-5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:15:29.640872;203;H=59;T=33;Hs=61.98789;sp=20;sf=7;rx_timestamp=3450543546; rssi=-103; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
